Rk,Date,Round,Venue,Scorer,Opponent,Start,xG,PSxG,Body Part,Distance,Minute,Score,Goalkeeper,Assist,GCA1,Type,GCA2,Type,Notes,Team
15,2024-10-26,Matchweek 9,Home,Yoane Wissa,Ipswich Town,Y,0.22,0.27,Left Foot,14,44,0-2,Arijanet Muric,Vitaly Janelt,Vitaly Janelt,Pass (Live),Keane Lewis-Potter,Pass (Live),,Brentford
16,2024-10-26,Matchweek 9,Home,Harry Clarke(OG),Ipswich Town,Y,,,,,45+1,1-2,Arijanet Muric,,,,,,Own Goal,Brentford
17,2024-10-26,Matchweek 9,Home,Bryan Mbeumo,Ipswich Town,Y,0.79,0.98,Left Foot,13,51,2-2,Arijanet Muric,,Keane Lewis-Potter,Fouled,Nathan Collins,Pass (Dead),,Brentford
18,2024-10-26,Matchweek 9,Home,Bryan Mbeumo,Ipswich Town,Y,0.02,0.31,Left Foot,28,90+6,3-3,Arijanet Muric,Mads Roerslev,Mads Roerslev,Pass (Live),Nathan Collins,Pass (Live),,Brentford
1,2024-08-17,Matchweek 1,Away,Kaoru Mitoma,Everton,Y,0.81,0.96,Right Foot,4,25,0-0,Jordan Pickford,Yankuba Minteh,Yankuba Minteh,Pass (Live),Yankuba Minteh,Take-On,,Brighton
2,2024-08-17,Matchweek 1,Away,Danny Welbeck,Everton,Y,0.07,0.48,Left Foot,18,56,1-0,Jordan Pickford,Mats Wieffer,Mats Wieffer,Pass (Live),,,,Brighton
3,2024-08-17,Matchweek 1,Away,Simon Adingra,Everton,N,0.07,0.47,Left Foot,17,86,2-0,Jordan Pickford,Danny Welbeck,Danny Welbeck,Pass (Live),Jack Hinshelwood,Pass (Live),,Brighton
4,2024-08-24,Matchweek 2,Home,Danny Welbeck,Manchester Utd,Y,0.75,0.99,Right Foot,3,32,0-0,André Onana,Kaoru Mitoma,Kaoru Mitoma,Pass (Live),João Pedro,Pass (Live),,Brighton
5,2024-08-24,Matchweek 2,Home,João Pedro,Manchester Utd,Y,0.46,0.95,Head,5,90+5,1-1,André Onana,Simon Adingra,Simon Adingra,Pass (Live),Yasin Ayari,Pass (Live),,Brighton
6,2024-08-31,Matchweek 3,Away,João Pedro,Arsenal,Y,0.26,0.24,Left Foot,11,58,0-1,David Raya,,Yankuba Minteh,Shot,,,,Brighton
7,2024-09-22,Matchweek 5,Home,Jack Hinshelwood,Nott'ham Forest,Y,0.12,0.48,Head,11,42,0-1,Matz Sels,Jan Paul van Hecke,Simon Adingra,Pass (Live),Kaoru Mitoma,Pass (Live),,Brighton
